AAA,AA,A,BBB,BB,B,CCC,CC,C,D
0.00,0.02,0.04,0.06,0.09,0.12,0.15,0.18,0.21,0.24
0.02,0.04,0.06,0.09,0.12,0.15,0.18,0.21,0.24,1.00
